"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","STINT","TOT","PC_PA","M","1992-02",10.2117,
"DNK","STINT","TOT","PC_PA","M","1992-03",10.1769,
"DNK","STINT","TOT","PC_PA","M","1992-04",10.204,
"DNK","STINT","TOT","PC_PA","M","1992-05",10.2401,
"DNK","STINT","TOT","PC_PA","M","1992-06",10.5422,
"DNK","STINT","TOT","PC_PA","M","1992-07",10.6461,
"DNK","STINT","TOT","PC_PA","M","1992-08",11.1935,
"DNK","STINT","TOT","PC_PA","M","1992-09",12.7614,
"DNK","STINT","TOT","PC_PA","M","1992-10",13.0114,
"DNK","STINT","TOT","PC_PA","M","1992-11",12.9896,
"DNK","STINT","TOT","PC_PA","M","1992-12",18.1473,
"DNK","STINT","TOT","PC_PA","M","1993-01",14.4453,
"DNK","STINT","TOT","PC_PA","M","1993-02",17.3233,
"DNK","STINT","TOT","PC_PA","M","1993-03",13.3702,
"DNK","STINT","TOT","PC_PA","M","1993-04",10.6509,
"DNK","STINT","TOT","PC_PA","M","1993-05",9.1857,
"DNK","STINT","TOT","PC_PA","M","1993-06",8.1474,
"DNK","STINT","TOT","PC_PA","M","1993-07",10.6902,
"DNK","STINT","TOT","PC_PA","M","1993-08",12.0789,
"DNK","STINT","TOT","PC_PA","M","1993-09",10.1565,
"DNK","STINT","TOT","PC_PA","M","1993-10",8.6859,
"DNK","STINT","TOT","PC_PA","M","1993-11",8.0077,
"DNK","STINT","TOT","PC_PA","M","1993-12",7.5177,
"DNK","STINT","TOT","PC_PA","M","1994-01",6.3879,
"DNK","STINT","TOT","PC_PA","M","1994-02",6.3788,
"DNK","STINT","TOT","PC_PA","M","1994-03",6.2234,
"DNK","STINT","TOT","PC_PA","M","1994-04",6.1812,
"DNK","STINT","TOT","PC_PA","M","1994-05",5.9357,
"DNK","STINT","TOT","PC_PA","M","1994-06",6.2206,
"DNK","STINT","TOT","PC_PA","M","1994-07",6.133,
"DNK","STINT","TOT","PC_PA","M","1994-08",6.6043,
"DNK","STINT","TOT","PC_PA","M","1994-09",6.605,
"DNK","STINT","TOT","PC_PA","M","1994-10",6.4304,
"DNK","STINT","TOT","PC_PA","M","1994-11",6.3276,
"DNK","STINT","TOT","PC_PA","M","1994-12",6.1981,
"DNK","STINT","TOT","PC_PA","M","1995-01",6.1983,
"DNK","STINT","TOT","PC_PA","M","1995-02",5.9692,
"DNK","STINT","TOT","PC_PA","M","1995-03",7.318,
"DNK","STINT","TOT","PC_PA","M","1995-04",7.0656,
"DNK","STINT","TOT","PC_PA","M","1995-05",6.7876,
"DNK","STINT","TOT","PC_PA","M","1995-06",6.7246,
"DNK","STINT","TOT","PC_PA","M","1995-07",6.5395,
"DNK","STINT","TOT","PC_PA","M","1995-08",6.0749,
"DNK","STINT","TOT","PC_PA","M","1995-09",5.7117,
"DNK","STINT","TOT","PC_PA","M","1995-10",5.7314,
"DNK","STINT","TOT","PC_PA","M","1995-11",5.3675,
"DNK","STINT","TOT","PC_PA","M","1995-12",4.9978,
"DNK","STINT","TOT","PC_PA","M","1996-01",4.5421,
"DNK","STINT","TOT","PC_PA","M","1996-02",4.4518,
"DNK","STINT","TOT","PC_PA","M","1996-03",4.3414,
"DNK","STINT","TOT","PC_PA","M","1996-04",3.948,
"DNK","STINT","TOT","PC_PA","M","1996-05",3.8435,
"DNK","STINT","TOT","PC_PA","M","1996-06",3.9597,
"DNK","STINT","TOT","PC_PA","M","1996-07",3.9285,
