LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CHL,STINT,TOT,PC_PA,M,1997-07,12.54,
CHL,STINT,TOT,PC_PA,M,1997-08,13.77,
CHL,STINT,TOT,PC_PA,M,1997-09,13.47,
CHL,STINT,TOT,PC_PA,M,1997-10,14.82,
CHL,STINT,TOT,PC_PA,M,1997-11,13.04,
CHL,STINT,TOT,PC_PA,M,1997-12,10.63,
CHL,STINT,TOT,PC_PA,M,1998-01,19.17,
CHL,STINT,TOT,PC_PA,M,1998-02,18.23,
CHL,STINT,TOT,PC_PA,M,1998-03,14.36,
CHL,STINT,TOT,PC_PA,M,1998-04,15.72,
CHL,STINT,TOT,PC_PA,M,1998-05,14.75,
CHL,STINT,TOT,PC_PA,M,1998-06,14.86,
CHL,STINT,TOT,PC_PA,M,1998-07,16.48,
CHL,STINT,TOT,PC_PA,M,1998-08,18.65,
CHL,STINT,TOT,PC_PA,M,1998-10,18.78,
CHL,STINT,TOT,PC_PA,M,1998-11,14.89,
CHL,STINT,TOT,PC_PA,M,1998-12,13.49,
CHL,STINT,TOT,PC_PA,M,1999-01,12.75,
CHL,STINT,TOT,PC_PA,M,1999-02,10.04,
CHL,STINT,TOT,PC_PA,M,1999-03,11.09,
CHL,STINT,TOT,PC_PA,M,1999-04,13.59,
CHL,STINT,TOT,PC_PA,M,1999-05,11.71,
CHL,STINT,TOT,PC_PA,M,1999-06,9.28,
CHL,STINT,TOT,PC_PA,M,1999-07,9.76,
CHL,STINT,TOT,PC_PA,M,1999-08,9.93,
CHL,STINT,TOT,PC_PA,M,1999-09,9.91,
CHL,STINT,TOT,PC_PA,M,1999-10,10.68,
CHL,STINT,TOT,PC_PA,M,1999-11,11.63,
CHL,STINT,TOT,PC_PA,M,1999-12,11.09,
CHL,STINT,TOT,PC_PA,M,2000-01,10.05,
CHL,STINT,TOT,PC_PA,M,2000-02,12.17,
CHL,STINT,TOT,PC_PA,M,2000-03,13.43,
CHL,STINT,TOT,PC_PA,M,2000-04,11.76,
CHL,STINT,TOT,PC_PA,M,2000-05,10.67,
CHL,STINT,TOT,PC_PA,M,2000-06,9.72,
CHL,STINT,TOT,PC_PA,M,2000-07,9.9,
CHL,STINT,TOT,PC_PA,M,2000-08,9.37,
CHL,STINT,TOT,PC_PA,M,2000-09,10.32,
CHL,STINT,TOT,PC_PA,M,2000-10,11.5,
CHL,STINT,TOT,PC_PA,M,2000-11,10.9,
CHL,STINT,TOT,PC_PA,M,2000-12,9.3,
CHL,STINT,TOT,PC_PA,M,2001-01,8.3,
CHL,STINT,TOT,PC_PA,M,2001-02,8.06,
CHL,STINT,TOT,PC_PA,M,2001-03,6.14,
CHL,STINT,TOT,PC_PA,M,2001-04,8.62,
CHL,STINT,TOT,PC_PA,M,2001-05,8.69,
CHL,STINT,TOT,PC_PA,M,2001-06,6.74,
CHL,STINT,TOT,PC_PA,M,2001-07,6.44,
CHL,STINT,TOT,PC_PA,M,2001-08,7.07,
CHL,STINT,TOT,PC_PA,M,2001-09,7.18,
CHL,STINT,TOT,PC_PA,M,2001-10,6.61,
CHL,STINT,TOT,PC_PA,M,2001-11,6.44,
CHL,STINT,TOT,PC_PA,M,2001-12,6.51,
CHL,STINT,TOT,PC_PA,M,2002-01,6.0,
CHL,STINT,TOT,PC_PA,M,2002-02,5.56,
CHL,STINT,TOT,PC_PA,M,2002-03,4.73,
CHL,STINT,TOT,PC_PA,M,2002-04,4.39,
CHL,STINT,TOT,PC_PA,M,2002-05,4.15,
CHL,STINT,TOT,PC_PA,M,2002-06,4.03,
CHL,STINT,TOT,PC_PA,M,2002-07,3.51,
CHL,STINT,TOT,PC_PA,M,2002-08,2.96,
CHL,STINT,TOT,PC_PA,M,2002-09,2.99,
CHL,STINT,TOT,PC_PA,M,2002-10,3.03,
CHL,STINT,TOT,PC_PA,M,2002-11,2.87,
CHL,STINT,TOT,PC_PA,M,2002-12,2.88,
CHL,STINT,TOT,PC_PA,M,2003-01,2.97,
CHL,STINT,TOT,PC_PA,M,2003-02,2.94,
CHL,STINT,TOT,PC_PA,M,2003-03,2.65,
CHL,STINT,TOT,PC_PA,M,2003-04,2.48,
CHL,STINT,TOT,PC_PA,M,2003-05,2.59,
CHL,STINT,TOT,PC_PA,M,2003-06,2.78,
CHL,STINT,TOT,PC_PA,M,2003-07,2.97,
CHL,STINT,TOT,PC_PA,M,2003-08,2.94,
CHL,STINT,TOT,PC_PA,M,2003-09,2.84,
CHL,STINT,TOT,PC_PA,M,2003-10,2.75,
CHL,STINT,TOT,PC_PA,M,2003-11,2.72,
