LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
COL,STINT,TOT,PC_PA,M,1986-01,34.82,
COL,STINT,TOT,PC_PA,M,1986-02,30.93,
COL,STINT,TOT,PC_PA,M,1986-03,30.67,
COL,STINT,TOT,PC_PA,M,1986-04,30.41,
COL,STINT,TOT,PC_PA,M,1986-05,30.43,
COL,STINT,TOT,PC_PA,M,1986-06,30.47,
COL,STINT,TOT,PC_PA,M,1986-07,31.1,
COL,STINT,TOT,PC_PA,M,1986-08,31.28,
COL,STINT,TOT,PC_PA,M,1986-09,31.24,
COL,STINT,TOT,PC_PA,M,1986-10,31.37,
COL,STINT,TOT,PC_PA,M,1986-11,31.79,
COL,STINT,TOT,PC_PA,M,1986-12,31.83,
COL,STINT,TOT,PC_PA,M,1987-01,31.58,
COL,STINT,TOT,PC_PA,M,1987-02,30.33,
COL,STINT,TOT,PC_PA,M,1987-03,29.97,
COL,STINT,TOT,PC_PA,M,1987-04,29.8,
COL,STINT,TOT,PC_PA,M,1987-05,29.94,
COL,STINT,TOT,PC_PA,M,1987-06,29.68,
COL,STINT,TOT,PC_PA,M,1987-07,30.33,
COL,STINT,TOT,PC_PA,M,1987-08,30.56,
COL,STINT,TOT,PC_PA,M,1987-09,30.79,
COL,STINT,TOT,PC_PA,M,1987-10,31.37,
COL,STINT,TOT,PC_PA,M,1987-11,32.31,
COL,STINT,TOT,PC_PA,M,1987-12,32.82,
COL,STINT,TOT,PC_PA,M,1988-01,31.35,
COL,STINT,TOT,PC_PA,M,1988-02,32.95,
COL,STINT,TOT,PC_PA,M,1988-03,33.86,
COL,STINT,TOT,PC_PA,M,1988-04,34.75,
COL,STINT,TOT,PC_PA,M,1988-05,35.23,
COL,STINT,TOT,PC_PA,M,1988-06,34.85,
COL,STINT,TOT,PC_PA,M,1988-07,35.2,
COL,STINT,TOT,PC_PA,M,1988-08,35.22,
COL,STINT,TOT,PC_PA,M,1988-09,32.21,
COL,STINT,TOT,PC_PA,M,1988-10,31.79,
COL,STINT,TOT,PC_PA,M,1988-11,31.85,
COL,STINT,TOT,PC_PA,M,1988-12,32.25,
COL,STINT,TOT,PC_PA,M,1989-01,32.23,
COL,STINT,TOT,PC_PA,M,1989-02,32.98,
COL,STINT,TOT,PC_PA,M,1989-03,33.23,
COL,STINT,TOT,PC_PA,M,1989-04,33.68,
COL,STINT,TOT,PC_PA,M,1989-05,33.67,
COL,STINT,TOT,PC_PA,M,1989-06,33.89,
COL,STINT,TOT,PC_PA,M,1989-07,33.91,
COL,STINT,TOT,PC_PA,M,1989-08,33.99,
COL,STINT,TOT,PC_PA,M,1989-09,33.62,
COL,STINT,TOT,PC_PA,M,1989-10,33.97,
COL,STINT,TOT,PC_PA,M,1989-11,34.62,
COL,STINT,TOT,PC_PA,M,1989-12,34.94,
COL,STINT,TOT,PC_PA,M,1990-01,34.42,
COL,STINT,TOT,PC_PA,M,1990-02,34.15,
COL,STINT,TOT,PC_PA,M,1990-03,34.65,
COL,STINT,TOT,PC_PA,M,1990-04,35.76,
COL,STINT,TOT,PC_PA,M,1990-05,35.76,
COL,STINT,TOT,PC_PA,M,1990-06,36.23,
COL,STINT,TOT,PC_PA,M,1990-07,37.59,
COL,STINT,TOT,PC_PA,M,1990-08,37.11,
COL,STINT,TOT,PC_PA,M,1990-09,37.56,
COL,STINT,TOT,PC_PA,M,1990-10,37.94,
COL,STINT,TOT,PC_PA,M,1990-11,37.67,
COL,STINT,TOT,PC_PA,M,1990-12,38.45,
COL,STINT,TOT,PC_PA,M,1991-01,35.89,
COL,STINT,TOT,PC_PA,M,1991-02,34.99,
COL,STINT,TOT,PC_PA,M,1991-03,36.48,
COL,STINT,TOT,PC_PA,M,1991-04,37.99,
COL,STINT,TOT,PC_PA,M,1991-05,36.69,
COL,STINT,TOT,PC_PA,M,1991-06,36.54,
COL,STINT,TOT,PC_PA,M,1991-07,37.49,
COL,STINT,TOT,PC_PA,M,1991-08,38.32,
COL,STINT,TOT,PC_PA,M,1991-09,39.27,
COL,STINT,TOT,PC_PA,M,1991-10,38.09,
COL,STINT,TOT,PC_PA,M,1991-11,37.97,
COL,STINT,TOT,PC_PA,M,1991-12,36.98,
COL,STINT,TOT,PC_PA,M,1992-01,32.69,
COL,STINT,TOT,PC_PA,M,1992-02,28.86,
COL,STINT,TOT,PC_PA,M,1992-03,28.28,
COL,STINT,TOT,PC_PA,M,1992-04,26.75,
COL,STINT,TOT,PC_PA,M,1992-05,24.27,
