LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
DNK,STINT,TOT,PC_PA,M,1987-01,10.5,
DNK,STINT,TOT,PC_PA,M,1987-02,11.2,
DNK,STINT,TOT,PC_PA,M,1987-03,10.4,
DNK,STINT,TOT,PC_PA,M,1987-04,10.2,
DNK,STINT,TOT,PC_PA,M,1987-05,10.0,
DNK,STINT,TOT,PC_PA,M,1987-06,9.7,
DNK,STINT,TOT,PC_PA,M,1987-07,10.0,
DNK,STINT,TOT,PC_PA,M,1987-08,9.9,
DNK,STINT,TOT,PC_PA,M,1987-09,9.8,
DNK,STINT,TOT,PC_PA,M,1987-10,10.2,
DNK,STINT,TOT,PC_PA,M,1987-11,9.9,
DNK,STINT,TOT,PC_PA,M,1987-12,9.5,
DNK,STINT,TOT,PC_PA,M,1988-01,8.9,
DNK,STINT,TOT,PC_PA,M,1988-02,8.7,
DNK,STINT,TOT,PC_PA,M,1988-03,8.9,
DNK,STINT,TOT,PC_PA,M,1988-04,9.5,
DNK,STINT,TOT,PC_PA,M,1988-05,9.0,
DNK,STINT,TOT,PC_PA,M,1988-06,8.6712,
DNK,STINT,TOT,PC_PA,M,1988-07,8.2783,
DNK,STINT,TOT,PC_PA,M,1988-08,8.1936,
DNK,STINT,TOT,PC_PA,M,1988-09,8.1073,
DNK,STINT,TOT,PC_PA,M,1988-10,8.0878,
DNK,STINT,TOT,PC_PA,M,1988-11,8.1186,
DNK,STINT,TOT,PC_PA,M,1988-12,8.0528,
DNK,STINT,TOT,PC_PA,M,1989-01,8.1129,
DNK,STINT,TOT,PC_PA,M,1989-02,8.2852,
DNK,STINT,TOT,PC_PA,M,1989-03,8.3805,
DNK,STINT,TOT,PC_PA,M,1989-04,8.9161,
DNK,STINT,TOT,PC_PA,M,1989-05,9.2738,
DNK,STINT,TOT,PC_PA,M,1989-06,9.3735,
DNK,STINT,TOT,PC_PA,M,1989-07,9.59,
DNK,STINT,TOT,PC_PA,M,1989-08,9.3913,
DNK,STINT,TOT,PC_PA,M,1989-09,9.7478,
DNK,STINT,TOT,PC_PA,M,1989-10,11.3224,
DNK,STINT,TOT,PC_PA,M,1989-11,12.1953,
DNK,STINT,TOT,PC_PA,M,1989-12,12.1176,
DNK,STINT,TOT,PC_PA,M,1990-01,12.1989,
DNK,STINT,TOT,PC_PA,M,1990-02,12.3883,
DNK,STINT,TOT,PC_PA,M,1990-03,12.1172,
DNK,STINT,TOT,PC_PA,M,1990-04,11.3846,
DNK,STINT,TOT,PC_PA,M,1990-05,10.7634,
DNK,STINT,TOT,PC_PA,M,1990-06,10.7122,
DNK,STINT,TOT,PC_PA,M,1990-07,10.3203,
DNK,STINT,TOT,PC_PA,M,1990-08,10.5333,
DNK,STINT,TOT,PC_PA,M,1990-09,10.7633,
DNK,STINT,TOT,PC_PA,M,1990-10,10.427999999999999,
DNK,STINT,TOT,PC_PA,M,1990-11,10.4801,
DNK,STINT,TOT,PC_PA,M,1990-12,10.5174,
DNK,STINT,TOT,PC_PA,M,1991-01,10.6044,
DNK,STINT,TOT,PC_PA,M,1991-02,10.3399,
DNK,STINT,TOT,PC_PA,M,1991-03,10.1357,
DNK,STINT,TOT,PC_PA,M,1991-04,10.0008,
DNK,STINT,TOT,PC_PA,M,1991-05,9.7708,
DNK,STINT,TOT,PC_PA,M,1991-06,9.5049,
DNK,STINT,TOT,PC_PA,M,1991-07,9.4789,
DNK,STINT,TOT,PC_PA,M,1991-08,9.6989,
DNK,STINT,TOT,PC_PA,M,1991-09,9.8296,
DNK,STINT,TOT,PC_PA,M,1991-10,9.677999999999999,
DNK,STINT,TOT,PC_PA,M,1991-11,9.4881,
DNK,STINT,TOT,PC_PA,M,1991-12,9.889,
DNK,STINT,TOT,PC_PA,M,1992-01,10.1705,
DNK,STINT,TOT,PC_PA,M,1992-02,10.2117,
DNK,STINT,TOT,PC_PA,M,1992-03,10.1769,
DNK,STINT,TOT,PC_PA,M,1992-04,10.204,
DNK,STINT,TOT,PC_PA,M,1992-05,10.2401,
DNK,STINT,TOT,PC_PA,M,1992-06,10.5422,
DNK,STINT,TOT,PC_PA,M,1992-07,10.6461,
DNK,STINT,TOT,PC_PA,M,1992-08,11.1935,
DNK,STINT,TOT,PC_PA,M,1992-09,12.7614,
DNK,STINT,TOT,PC_PA,M,1992-10,13.0114,
DNK,STINT,TOT,PC_PA,M,1992-11,12.9896,
DNK,STINT,TOT,PC_PA,M,1992-12,18.1473,
DNK,STINT,TOT,PC_PA,M,1993-01,14.4453,
DNK,STINT,TOT,PC_PA,M,1993-02,17.3233,
DNK,STINT,TOT,PC_PA,M,1993-03,13.3702,
DNK,STINT,TOT,PC_PA,M,1993-04,10.6509,
DNK,STINT,TOT,PC_PA,M,1993-05,9.1857,
DNK,STINT,TOT,PC_PA,M,1993-06,8.1474,
DNK,STINT,TOT,PC_PA,M,1993-07,10.6902,
DNK,STINT,TOT,PC_PA,M,1993-08,12.0789,
DNK,STINT,TOT,PC_PA,M,1993-09,10.1565,
DNK,STINT,TOT,PC_PA,M,1993-10,8.6859,
DNK,STINT,TOT,PC_PA,M,1993-11,8.0077,
DNK,STINT,TOT,PC_PA,M,1993-12,7.5177,
DNK,STINT,TOT,PC_PA,M,1994-01,6.3879,
DNK,STINT,TOT,PC_PA,M,1994-02,6.3788,
DNK,STINT,TOT,PC_PA,M,1994-03,6.2234,
DNK,STINT,TOT,PC_PA,M,1994-04,6.1812,
DNK,STINT,TOT,PC_PA,M,1994-05,5.9357,
DNK,STINT,TOT,PC_PA,M,1994-06,6.2206,
DNK,STINT,TOT,PC_PA,M,1994-07,6.132999999999999,
DNK,STINT,TOT,PC_PA,M,1994-08,6.6043,
DNK,STINT,TOT,PC_PA,M,1994-09,6.605,
DNK,STINT,TOT,PC_PA,M,1994-10,6.4304,
DNK,STINT,TOT,PC_PA,M,1994-11,6.3276,
DNK,STINT,TOT,PC_PA,M,1994-12,6.1981,
DNK,STINT,TOT,PC_PA,M,1995-01,6.1983,
DNK,STINT,TOT,PC_PA,M,1995-02,5.9692,
DNK,STINT,TOT,PC_PA,M,1995-03,7.318,
DNK,STINT,TOT,PC_PA,M,1995-04,7.0656,
DNK,STINT,TOT,PC_PA,M,1995-05,6.7876,
DNK,STINT,TOT,PC_PA,M,1995-06,6.7246,
DNK,STINT,TOT,PC_PA,M,1995-07,6.5395,
DNK,STINT,TOT,PC_PA,M,1995-08,6.0749,
DNK,STINT,TOT,PC_PA,M,1995-09,5.7117,
DNK,STINT,TOT,PC_PA,M,1995-10,5.7314,
DNK,STINT,TOT,PC_PA,M,1995-11,5.3675,
DNK,STINT,TOT,PC_PA,M,1995-12,4.9978,
DNK,STINT,TOT,PC_PA,M,1996-01,4.5421,
DNK,STINT,TOT,PC_PA,M,1996-02,4.4518,
DNK,STINT,TOT,PC_PA,M,1996-03,4.3414,
DNK,STINT,TOT,PC_PA,M,1996-04,3.948,
DNK,STINT,TOT,PC_PA,M,1996-05,3.8435,
DNK,STINT,TOT,PC_PA,M,1996-06,3.9597,
DNK,STINT,TOT,PC_PA,M,1996-07,3.9285,
DNK,STINT,TOT,PC_PA,M,1996-08,3.9159,
DNK,STINT,TOT,PC_PA,M,1996-09,3.833,
DNK,STINT,TOT,PC_PA,M,1996-10,3.6727,
DNK,STINT,TOT,PC_PA,M,1996-11,3.6687,
DNK,STINT,TOT,PC_PA,M,1996-12,3.6461,
DNK,STINT,TOT,PC_PA,M,1997-01,3.633,
DNK,STINT,TOT,PC_PA,M,1997-02,3.6232,
DNK,STINT,TOT,PC_PA,M,1997-03,3.6769,
DNK,STINT,TOT,PC_PA,M,1997-04,3.6727,
