LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
ESP,STINT,TOT,PC_PA,M,1979-10,14.399000000000001,
ESP,STINT,TOT,PC_PA,M,1979-11,14.477,
ESP,STINT,TOT,PC_PA,M,1979-12,15.964,
ESP,STINT,TOT,PC_PA,M,1980-01,15.495,
ESP,STINT,TOT,PC_PA,M,1980-02,14.339,
ESP,STINT,TOT,PC_PA,M,1980-03,17.112000000000002,
ESP,STINT,TOT,PC_PA,M,1980-04,17.91399,
ESP,STINT,TOT,PC_PA,M,1980-05,18.727999999999998,
ESP,STINT,TOT,PC_PA,M,1980-06,18.02499,
ESP,STINT,TOT,PC_PA,M,1980-07,15.935,
ESP,STINT,TOT,PC_PA,M,1980-08,15.55,
ESP,STINT,TOT,PC_PA,M,1980-09,15.325,
ESP,STINT,TOT,PC_PA,M,1980-10,15.785,
ESP,STINT,TOT,PC_PA,M,1980-11,16.32199,
ESP,STINT,TOT,PC_PA,M,1980-12,17.741989999999998,
ESP,STINT,TOT,PC_PA,M,1981-01,17.64099,
ESP,STINT,TOT,PC_PA,M,1981-02,15.942,
ESP,STINT,TOT,PC_PA,M,1981-03,14.825,
ESP,STINT,TOT,PC_PA,M,1981-04,14.78,
ESP,STINT,TOT,PC_PA,M,1981-05,16.67599,
ESP,STINT,TOT,PC_PA,M,1981-06,17.213,
ESP,STINT,TOT,PC_PA,M,1981-07,16.66299,
ESP,STINT,TOT,PC_PA,M,1981-08,16.433,
ESP,STINT,TOT,PC_PA,M,1981-09,16.213,
ESP,STINT,TOT,PC_PA,M,1981-10,15.552999999999999,
ESP,STINT,TOT,PC_PA,M,1981-11,16.09,
ESP,STINT,TOT,PC_PA,M,1981-12,16.102999999999998,
ESP,STINT,TOT,PC_PA,M,1982-01,15.759,
ESP,STINT,TOT,PC_PA,M,1982-02,15.187999999999999,
ESP,STINT,TOT,PC_PA,M,1982-03,14.645,
ESP,STINT,TOT,PC_PA,M,1982-04,15.505999999999998,
ESP,STINT,TOT,PC_PA,M,1982-05,16.047,
ESP,STINT,TOT,PC_PA,M,1982-06,17.726,
ESP,STINT,TOT,PC_PA,M,1982-07,17.445999999999998,
ESP,STINT,TOT,PC_PA,M,1982-08,15.855,
ESP,STINT,TOT,PC_PA,M,1982-09,15.148,
ESP,STINT,TOT,PC_PA,M,1982-10,17.10799,
ESP,STINT,TOT,PC_PA,M,1982-11,17.96199,
ESP,STINT,TOT,PC_PA,M,1982-12,16.98799,
ESP,STINT,TOT,PC_PA,M,1983-01,16.776989999999998,
ESP,STINT,TOT,PC_PA,M,1983-02,16.98,
ESP,STINT,TOT,PC_PA,M,1983-03,16.627,
ESP,STINT,TOT,PC_PA,M,1983-04,18.250989999999998,
ESP,STINT,TOT,PC_PA,M,1983-05,21.244989999999998,
ESP,STINT,TOT,PC_PA,M,1983-06,21.03899,
ESP,STINT,TOT,PC_PA,M,1983-07,22.392,
ESP,STINT,TOT,PC_PA,M,1983-08,23.410989999999998,
ESP,STINT,TOT,PC_PA,M,1983-09,22.34698,
ESP,STINT,TOT,PC_PA,M,1983-10,21.83099,
ESP,STINT,TOT,PC_PA,M,1983-11,20.69398,
ESP,STINT,TOT,PC_PA,M,1983-12,19.000989999999998,
ESP,STINT,TOT,PC_PA,M,1984-01,18.41399,
ESP,STINT,TOT,PC_PA,M,1984-02,18.456979999999998,
ESP,STINT,TOT,PC_PA,M,1984-03,17.13899,
ESP,STINT,TOT,PC_PA,M,1984-04,16.209989999999998,
ESP,STINT,TOT,PC_PA,M,1984-05,15.41,
ESP,STINT,TOT,PC_PA,M,1984-06,14.414000000000001,
ESP,STINT,TOT,PC_PA,M,1984-07,13.651,
ESP,STINT,TOT,PC_PA,M,1984-08,13.749,
ESP,STINT,TOT,PC_PA,M,1984-09,13.109000000000002,
ESP,STINT,TOT,PC_PA,M,1984-10,13.075,
ESP,STINT,TOT,PC_PA,M,1984-11,12.93,
ESP,STINT,TOT,PC_PA,M,1984-12,12.216,
ESP,STINT,TOT,PC_PA,M,1985-01,12.297,
ESP,STINT,TOT,PC_PA,M,1985-02,12.185,
ESP,STINT,TOT,PC_PA,M,1985-03,12.14,
ESP,STINT,TOT,PC_PA,M,1985-04,12.669,
ESP,STINT,TOT,PC_PA,M,1985-05,12.757,
ESP,STINT,TOT,PC_PA,M,1985-06,14.210999999999999,
ESP,STINT,TOT,PC_PA,M,1985-07,14.204,
ESP,STINT,TOT,PC_PA,M,1985-08,13.422,
ESP,STINT,TOT,PC_PA,M,1985-09,11.46,
ESP,STINT,TOT,PC_PA,M,1985-10,10.367,
ESP,STINT,TOT,PC_PA,M,1985-11,10.472000000000001,
ESP,STINT,TOT,PC_PA,M,1985-12,10.509,
ESP,STINT,TOT,PC_PA,M,1986-01,10.683,
ESP,STINT,TOT,PC_PA,M,1986-02,10.719000000000001,
ESP,STINT,TOT,PC_PA,M,1986-03,11.587,
ESP,STINT,TOT,PC_PA,M,1986-04,12.274000000000001,
ESP,STINT,TOT,PC_PA,M,1986-05,11.630999999999998,
ESP,STINT,TOT,PC_PA,M,1986-06,12.058,
ESP,STINT,TOT,PC_PA,M,1986-07,12.511,
ESP,STINT,TOT,PC_PA,M,1986-08,12.184000000000001,
ESP,STINT,TOT,PC_PA,M,1986-09,11.529000000000002,
ESP,STINT,TOT,PC_PA,M,1986-10,11.405999999999999,
ESP,STINT,TOT,PC_PA,M,1986-11,11.52,
ESP,STINT,TOT,PC_PA,M,1986-12,11.790999999999999,
ESP,STINT,TOT,PC_PA,M,1987-01,12.350999999999999,
ESP,STINT,TOT,PC_PA,M,1987-02,12.597000000000001,
ESP,STINT,TOT,PC_PA,M,1987-03,14.597999999999999,
ESP,STINT,TOT,PC_PA,M,1987-04,17.09,
ESP,STINT,TOT,PC_PA,M,1987-05,19.802989999999998,
ESP,STINT,TOT,PC_PA,M,1987-06,18.28899,
ESP,STINT,TOT,PC_PA,M,1987-07,17.56299,
ESP,STINT,TOT,PC_PA,M,1987-08,16.831979999999998,
ESP,STINT,TOT,PC_PA,M,1987-09,16.86499,
ESP,STINT,TOT,PC_PA,M,1987-10,15.842,
ESP,STINT,TOT,PC_PA,M,1987-11,14.44,
ESP,STINT,TOT,PC_PA,M,1987-12,13.595,
ESP,STINT,TOT,PC_PA,M,1988-01,12.73,
ESP,STINT,TOT,PC_PA,M,1988-02,12.012,
ESP,STINT,TOT,PC_PA,M,1988-03,11.055,
ESP,STINT,TOT,PC_PA,M,1988-04,10.902000000000001,
ESP,STINT,TOT,PC_PA,M,1988-05,11.107000000000001,
ESP,STINT,TOT,PC_PA,M,1988-06,10.443,
ESP,STINT,TOT,PC_PA,M,1988-07,10.786,
ESP,STINT,TOT,PC_PA,M,1988-08,10.747,
ESP,STINT,TOT,PC_PA,M,1988-09,11.175,
ESP,STINT,TOT,PC_PA,M,1988-10,12.629000000000001,
ESP,STINT,TOT,PC_PA,M,1988-11,12.57,
ESP,STINT,TOT,PC_PA,M,1988-12,13.648,
ESP,STINT,TOT,PC_PA,M,1989-01,14.135,
ESP,STINT,TOT,PC_PA,M,1989-02,14.562999999999999,
ESP,STINT,TOT,PC_PA,M,1989-03,15.127,
ESP,STINT,TOT,PC_PA,M,1989-04,14.78,
ESP,STINT,TOT,PC_PA,M,1989-05,14.765,
ESP,STINT,TOT,PC_PA,M,1989-06,14.895999999999999,
ESP,STINT,TOT,PC_PA,M,1989-07,15.53,
ESP,STINT,TOT,PC_PA,M,1989-08,15.307,
ESP,STINT,TOT,PC_PA,M,1989-09,15.064,
ESP,STINT,TOT,PC_PA,M,1989-10,14.959000000000001,
ESP,STINT,TOT,PC_PA,M,1989-11,15.331,
ESP,STINT,TOT,PC_PA,M,1989-12,15.979000000000001,
ESP,STINT,TOT,PC_PA,M,1990-01,15.604000000000001,
ESP,STINT,TOT,PC_PA,M,1990-02,15.498,
ESP,STINT,TOT,PC_PA,M,1990-03,15.434000000000001,
ESP,STINT,TOT,PC_PA,M,1990-04,14.992,
ESP,STINT,TOT,PC_PA,M,1990-05,15.046,
ESP,STINT,TOT,PC_PA,M,1990-06,14.995999999999999,
ESP,STINT,TOT,PC_PA,M,1990-07,15.01,
ESP,STINT,TOT,PC_PA,M,1990-08,15.017999999999999,
ESP,STINT,TOT,PC_PA,M,1990-09,15.157,
ESP,STINT,TOT,PC_PA,M,1990-10,14.967,
ESP,STINT,TOT,PC_PA,M,1990-11,14.978,
ESP,STINT,TOT,PC_PA,M,1990-12,15.119000000000002,
ESP,STINT,TOT,PC_PA,M,1991-01,15.148,
ESP,STINT,TOT,PC_PA,M,1991-02,14.703,
ESP,STINT,TOT,PC_PA,M,1991-03,13.787,
ESP,STINT,TOT,PC_PA,M,1991-04,13.463,
ESP,STINT,TOT,PC_PA,M,1991-05,12.936,
ESP,STINT,TOT,PC_PA,M,1991-06,12.494000000000002,
ESP,STINT,TOT,PC_PA,M,1991-07,12.821,
ESP,STINT,TOT,PC_PA,M,1991-08,12.717,
ESP,STINT,TOT,PC_PA,M,1991-09,12.394,
ESP,STINT,TOT,PC_PA,M,1991-10,12.618,
ESP,STINT,TOT,PC_PA,M,1991-11,12.72,
