LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
FIN,STINT,TOT,PC_PA,M,1987-01,12.25,
FIN,STINT,TOT,PC_PA,M,1987-02,11.14,
FIN,STINT,TOT,PC_PA,M,1987-03,10.54,
FIN,STINT,TOT,PC_PA,M,1987-04,10.04,
FIN,STINT,TOT,PC_PA,M,1987-05,9.89,
FIN,STINT,TOT,PC_PA,M,1987-06,9.69,
FIN,STINT,TOT,PC_PA,M,1987-07,9.63,
FIN,STINT,TOT,PC_PA,M,1987-08,9.55,
FIN,STINT,TOT,PC_PA,M,1987-09,9.48,
FIN,STINT,TOT,PC_PA,M,1987-10,9.45,
FIN,STINT,TOT,PC_PA,M,1987-11,9.48,
FIN,STINT,TOT,PC_PA,M,1987-12,9.25,
FIN,STINT,TOT,PC_PA,M,1988-01,9.21,
FIN,STINT,TOT,PC_PA,M,1988-02,9.22,
FIN,STINT,TOT,PC_PA,M,1988-03,9.72,
FIN,STINT,TOT,PC_PA,M,1988-04,9.47,
FIN,STINT,TOT,PC_PA,M,1988-05,9.47,
FIN,STINT,TOT,PC_PA,M,1988-06,9.06,
FIN,STINT,TOT,PC_PA,M,1988-07,9.47,
FIN,STINT,TOT,PC_PA,M,1988-08,10.0,
FIN,STINT,TOT,PC_PA,M,1988-09,10.48,
FIN,STINT,TOT,PC_PA,M,1988-10,10.68,
FIN,STINT,TOT,PC_PA,M,1988-11,11.26,
FIN,STINT,TOT,PC_PA,M,1988-12,11.55,
FIN,STINT,TOT,PC_PA,M,1989-01,11.19,
FIN,STINT,TOT,PC_PA,M,1989-02,10.78,
FIN,STINT,TOT,PC_PA,M,1989-03,11.09,
FIN,STINT,TOT,PC_PA,M,1989-04,12.11,
FIN,STINT,TOT,PC_PA,M,1989-05,11.75,
FIN,STINT,TOT,PC_PA,M,1989-06,11.78,
FIN,STINT,TOT,PC_PA,M,1989-07,11.79,
