LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
IDN,STINT,TOT,PC_PA,M,1998-01,22.86,
IDN,STINT,TOT,PC_PA,M,1998-02,24.0,
IDN,STINT,TOT,PC_PA,M,1998-03,27.26,
IDN,STINT,TOT,PC_PA,M,1998-04,29.4,
IDN,STINT,TOT,PC_PA,M,1998-05,32.95,
IDN,STINT,TOT,PC_PA,M,1998-06,40.63,
IDN,STINT,TOT,PC_PA,M,1998-07,43.01,
IDN,STINT,TOT,PC_PA,M,1998-08,44.35,
IDN,STINT,TOT,PC_PA,M,1998-09,47.38,
IDN,STINT,TOT,PC_PA,M,1998-10,54.67,
IDN,STINT,TOT,PC_PA,M,1998-11,53.06,
IDN,STINT,TOT,PC_PA,M,1998-12,49.23,
IDN,STINT,TOT,PC_PA,M,1999-01,45.5,
IDN,STINT,TOT,PC_PA,M,1999-02,38.2,
IDN,STINT,TOT,PC_PA,M,1999-03,34.85,
IDN,STINT,TOT,PC_PA,M,1999-04,34.09,
IDN,STINT,TOT,PC_PA,M,1999-05,31.2,
IDN,STINT,TOT,PC_PA,M,1999-06,27.39,
IDN,STINT,TOT,PC_PA,M,1999-07,23.45,
IDN,STINT,TOT,PC_PA,M,1999-08,19.06,
IDN,STINT,TOT,PC_PA,M,1999-09,15.88,
IDN,STINT,TOT,PC_PA,M,1999-10,13.37,
IDN,STINT,TOT,PC_PA,M,1999-11,12.91,
IDN,STINT,TOT,PC_PA,M,1999-12,12.95,
IDN,STINT,TOT,PC_PA,M,2000-01,12.85,
IDN,STINT,TOT,PC_PA,M,2000-02,12.64,
IDN,STINT,TOT,PC_PA,M,2000-03,12.4,
IDN,STINT,TOT,PC_PA,M,2000-04,12.16,
IDN,STINT,TOT,PC_PA,M,2000-05,11.81,
IDN,STINT,TOT,PC_PA,M,2000-06,11.69,
IDN,STINT,TOT,PC_PA,M,2000-07,11.79,
IDN,STINT,TOT,PC_PA,M,2000-08,12.36,
IDN,STINT,TOT,PC_PA,M,2000-09,12.84,
IDN,STINT,TOT,PC_PA,M,2000-10,13.09,
IDN,STINT,TOT,PC_PA,M,2000-11,13.17,
IDN,STINT,TOT,PC_PA,M,2000-12,13.24,
IDN,STINT,TOT,PC_PA,M,2001-01,13.83,
IDN,STINT,TOT,PC_PA,M,2001-02,14.35,
IDN,STINT,TOT,PC_PA,M,2001-03,14.86,
IDN,STINT,TOT,PC_PA,M,2001-04,14.93,
IDN,STINT,TOT,PC_PA,M,2001-05,14.92,
IDN,STINT,TOT,PC_PA,M,2001-06,15.0,
IDN,STINT,TOT,PC_PA,M,2001-07,15.14,
IDN,STINT,TOT,PC_PA,M,2001-08,15.62,
IDN,STINT,TOT,PC_PA,M,2001-09,16.16,
IDN,STINT,TOT,PC_PA,M,2001-10,16.67,
IDN,STINT,TOT,PC_PA,M,2001-11,17.06,
IDN,STINT,TOT,PC_PA,M,2001-12,17.24,
IDN,STINT,TOT,PC_PA,M,2002-01,17.39,
IDN,STINT,TOT,PC_PA,M,2002-02,17.24,
IDN,STINT,TOT,PC_PA,M,2002-03,17.02,
IDN,STINT,TOT,PC_PA,M,2002-04,16.57,
IDN,STINT,TOT,PC_PA,M,2002-05,16.24,
IDN,STINT,TOT,PC_PA,M,2002-06,15.85,
IDN,STINT,TOT,PC_PA,M,2002-07,15.26,
IDN,STINT,TOT,PC_PA,M,2002-08,14.77,
IDN,STINT,TOT,PC_PA,M,2002-09,14.36,
IDN,STINT,TOT,PC_PA,M,2002-10,13.94,
IDN,STINT,TOT,PC_PA,M,2002-11,13.76,
IDN,STINT,TOT,PC_PA,M,2002-12,13.63,
IDN,STINT,TOT,PC_PA,M,2003-01,13.49,
IDN,STINT,TOT,PC_PA,M,2003-02,13.15,
IDN,STINT,TOT,PC_PA,M,2003-03,12.9,
IDN,STINT,TOT,PC_PA,M,2003-04,12.48,
IDN,STINT,TOT,PC_PA,M,2003-05,12.02,
IDN,STINT,TOT,PC_PA,M,2003-06,11.55,
IDN,STINT,TOT,PC_PA,M,2003-07,10.65,
IDN,STINT,TOT,PC_PA,M,2003-08,9.58,
IDN,STINT,TOT,PC_PA,M,2003-09,8.58,
IDN,STINT,TOT,PC_PA,M,2003-10,7.96,
