LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
MEX,STINT,TOT,PC_PA,M,1997-01,25.38,
MEX,STINT,TOT,PC_PA,M,1997-02,23.54,
MEX,STINT,TOT,PC_PA,M,1997-03,23.73,
MEX,STINT,TOT,PC_PA,M,1997-04,23.97,
MEX,STINT,TOT,PC_PA,M,1997-05,21.73,
MEX,STINT,TOT,PC_PA,M,1997-06,22.41,
MEX,STINT,TOT,PC_PA,M,1997-07,20.73,
MEX,STINT,TOT,PC_PA,M,1997-08,21.27,
MEX,STINT,TOT,PC_PA,M,1997-09,21.27,
MEX,STINT,TOT,PC_PA,M,1997-10,20.47,
MEX,STINT,TOT,PC_PA,M,1997-11,22.55,
MEX,STINT,TOT,PC_PA,M,1997-12,20.48,
MEX,STINT,TOT,PC_PA,M,1998-01,19.95,
MEX,STINT,TOT,PC_PA,M,1998-02,20.67,
MEX,STINT,TOT,PC_PA,M,1998-03,21.83,
MEX,STINT,TOT,PC_PA,M,1998-04,20.44,
MEX,STINT,TOT,PC_PA,M,1998-05,20.27,
MEX,STINT,TOT,PC_PA,M,1998-06,21.79,
MEX,STINT,TOT,PC_PA,M,1998-07,22.66,
MEX,STINT,TOT,PC_PA,M,1998-08,27.2,
MEX,STINT,TOT,PC_PA,M,1998-09,40.35,
MEX,STINT,TOT,PC_PA,M,1998-10,38.69,
MEX,STINT,TOT,PC_PA,M,1998-11,35.56,
MEX,STINT,TOT,PC_PA,M,1998-12,36.29,
MEX,STINT,TOT,PC_PA,M,1999-01,35.45,
MEX,STINT,TOT,PC_PA,M,1999-02,31.35,
MEX,STINT,TOT,PC_PA,M,1999-03,26.37,
MEX,STINT,TOT,PC_PA,M,1999-04,22.99,
MEX,STINT,TOT,PC_PA,M,1999-05,23.26,
MEX,STINT,TOT,PC_PA,M,1999-06,23.77,
MEX,STINT,TOT,PC_PA,M,1999-07,22.98,
MEX,STINT,TOT,PC_PA,M,1999-08,24.36,
MEX,STINT,TOT,PC_PA,M,1999-09,23.43,
MEX,STINT,TOT,PC_PA,M,1999-10,22.41,
MEX,STINT,TOT,PC_PA,M,1999-11,20.09,
MEX,STINT,TOT,PC_PA,M,1999-12,19.06,
MEX,STINT,TOT,PC_PA,M,2000-01,18.69,
MEX,STINT,TOT,PC_PA,M,2000-02,18.12,
MEX,STINT,TOT,PC_PA,M,2000-03,15.86,
MEX,STINT,TOT,PC_PA,M,2000-04,15.1,
MEX,STINT,TOT,PC_PA,M,2000-05,16.77,
MEX,STINT,TOT,PC_PA,M,2000-06,17.73,
MEX,STINT,TOT,PC_PA,M,2000-07,15.4,
MEX,STINT,TOT,PC_PA,M,2000-08,16.84,
MEX,STINT,TOT,PC_PA,M,2000-09,17.13,
MEX,STINT,TOT,PC_PA,M,2000-10,17.99,
MEX,STINT,TOT,PC_PA,M,2000-11,18.76,
MEX,STINT,TOT,PC_PA,M,2000-12,18.39,
MEX,STINT,TOT,PC_PA,M,2001-01,18.86,
MEX,STINT,TOT,PC_PA,M,2001-02,18.36,
MEX,STINT,TOT,PC_PA,M,2001-03,17.22,
MEX,STINT,TOT,PC_PA,M,2001-04,16.31,
MEX,STINT,TOT,PC_PA,M,2001-05,14.22,
MEX,STINT,TOT,PC_PA,M,2001-06,11.9,
MEX,STINT,TOT,PC_PA,M,2001-07,11.6,
MEX,STINT,TOT,PC_PA,M,2001-08,10.22,
MEX,STINT,TOT,PC_PA,M,2001-09,12.19,
MEX,STINT,TOT,PC_PA,M,2001-10,11.16,
MEX,STINT,TOT,PC_PA,M,2001-11,10.21,
MEX,STINT,TOT,PC_PA,M,2001-12,8.87,
MEX,STINT,TOT,PC_PA,M,2002-01,8.44,
MEX,STINT,TOT,PC_PA,M,2002-02,9.06,
MEX,STINT,TOT,PC_PA,M,2002-03,8.61,
MEX,STINT,TOT,PC_PA,M,2002-04,7.12,
MEX,STINT,TOT,PC_PA,M,2002-05,7.63,
MEX,STINT,TOT,PC_PA,M,2002-06,8.65,
MEX,STINT,TOT,PC_PA,M,2002-07,8.73,
