LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
NOR,STINT,TOT,PC_PA,M,1979-10,15.6,
NOR,STINT,TOT,PC_PA,M,1979-11,13.6,
NOR,STINT,TOT,PC_PA,M,1979-12,12.7,
NOR,STINT,TOT,PC_PA,M,1980-01,11.8,
NOR,STINT,TOT,PC_PA,M,1980-02,12.1,
NOR,STINT,TOT,PC_PA,M,1980-03,14.2,
NOR,STINT,TOT,PC_PA,M,1980-04,14.4,
NOR,STINT,TOT,PC_PA,M,1980-05,12.7,
NOR,STINT,TOT,PC_PA,M,1980-06,10.3,
NOR,STINT,TOT,PC_PA,M,1980-07,10.2,
NOR,STINT,TOT,PC_PA,M,1980-08,11.9,
NOR,STINT,TOT,PC_PA,M,1980-09,13.0,
NOR,STINT,TOT,PC_PA,M,1980-10,11.7,
NOR,STINT,TOT,PC_PA,M,1980-11,12.7,
NOR,STINT,TOT,PC_PA,M,1980-12,11.8,
NOR,STINT,TOT,PC_PA,M,1981-01,11.4,
NOR,STINT,TOT,PC_PA,M,1981-02,12.8,
NOR,STINT,TOT,PC_PA,M,1981-03,12.3,
NOR,STINT,TOT,PC_PA,M,1981-04,11.9,
NOR,STINT,TOT,PC_PA,M,1981-05,12.7,
NOR,STINT,TOT,PC_PA,M,1981-06,13.0,
NOR,STINT,TOT,PC_PA,M,1981-07,12.8,
NOR,STINT,TOT,PC_PA,M,1981-08,13.7,
NOR,STINT,TOT,PC_PA,M,1981-09,13.6,
NOR,STINT,TOT,PC_PA,M,1981-10,13.9,
NOR,STINT,TOT,PC_PA,M,1981-11,14.0,
NOR,STINT,TOT,PC_PA,M,1981-12,15.4,
NOR,STINT,TOT,PC_PA,M,1982-01,13.8,
NOR,STINT,TOT,PC_PA,M,1982-02,14.0,
NOR,STINT,TOT,PC_PA,M,1982-03,15.2,
NOR,STINT,TOT,PC_PA,M,1982-04,16.9,
NOR,STINT,TOT,PC_PA,M,1982-05,17.1,
NOR,STINT,TOT,PC_PA,M,1982-06,15.5,
NOR,STINT,TOT,PC_PA,M,1982-07,16.5,
NOR,STINT,TOT,PC_PA,M,1982-08,14.9,
NOR,STINT,TOT,PC_PA,M,1982-09,14.8,
NOR,STINT,TOT,PC_PA,M,1982-10,15.6,
NOR,STINT,TOT,PC_PA,M,1982-11,15.4,
NOR,STINT,TOT,PC_PA,M,1982-12,14.7,
NOR,STINT,TOT,PC_PA,M,1983-01,13.6,
NOR,STINT,TOT,PC_PA,M,1983-02,13.7,
NOR,STINT,TOT,PC_PA,M,1983-03,14.0,
NOR,STINT,TOT,PC_PA,M,1983-04,13.4,
NOR,STINT,TOT,PC_PA,M,1983-05,13.7,
NOR,STINT,TOT,PC_PA,M,1983-06,13.2,
NOR,STINT,TOT,PC_PA,M,1983-07,13.1,
NOR,STINT,TOT,PC_PA,M,1983-08,13.0,
NOR,STINT,TOT,PC_PA,M,1983-09,13.1,
NOR,STINT,TOT,PC_PA,M,1983-10,13.2,
NOR,STINT,TOT,PC_PA,M,1983-11,13.0,
NOR,STINT,TOT,PC_PA,M,1983-12,12.6,
NOR,STINT,TOT,PC_PA,M,1984-01,13.0,
NOR,STINT,TOT,PC_PA,M,1984-02,13.1,
