"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","STINT","TOT","PC_PA","M","1999-11",3.8526,
"DNK","STINT","TOT","PC_PA","M","1999-12",3.7988,
"DNK","STINT","TOT","PC_PA","M","2000-01",3.7165,
"DNK","STINT","TOT","PC_PA","M","2000-02",3.9332,
"DNK","STINT","TOT","PC_PA","M","2000-03",4.1848,
"DNK","STINT","TOT","PC_PA","M","2000-04",4.3271,
"DNK","STINT","TOT","PC_PA","M","2000-05",4.6999,
"DNK","STINT","TOT","PC_PA","M","2000-06",5.1762,
"DNK","STINT","TOT","PC_PA","M","2000-07",5.7755,
"DNK","STINT","TOT","PC_PA","M","2000-08",5.6575,
"DNK","STINT","TOT","PC_PA","M","2000-09",6.1017,
"DNK","STINT","TOT","PC_PA","M","2000-10",5.553,
"DNK","STINT","TOT","PC_PA","M","2000-11",5.4961,
"DNK","STINT","TOT","PC_PA","M","2000-12",5.3859,
"DNK","STINT","TOT","PC_PA","M","2001-01",5.342,
"DNK","STINT","TOT","PC_PA","M","2001-02",5.272,
"DNK","STINT","TOT","PC_PA","M","2001-03",5.1622,
"DNK","STINT","TOT","PC_PA","M","2001-04",5.1257,
"DNK","STINT","TOT","PC_PA","M","2001-05",5.1075,
"DNK","STINT","TOT","PC_PA","M","2001-06",4.9618,
"DNK","STINT","TOT","PC_PA","M","2001-07",4.9324,
"DNK","STINT","TOT","PC_PA","M","2001-08",4.8076,
"DNK","STINT","TOT","PC_PA","M","2001-09",4.4334,
"DNK","STINT","TOT","PC_PA","M","2001-10",3.9596,
"DNK","STINT","TOT","PC_PA","M","2001-11",3.701,
"DNK","STINT","TOT","PC_PA","M","2001-12",3.6365,
"DNK","STINT","TOT","PC_PA","M","2002-01",3.6348,
"DNK","STINT","TOT","PC_PA","M","2002-02",3.6046,
"DNK","STINT","TOT","PC_PA","M","2002-03",3.6376,
"DNK","STINT","TOT","PC_PA","M","2002-04",3.6666,
"DNK","STINT","TOT","PC_PA","M","2002-05",3.7262,
"DNK","STINT","TOT","PC_PA","M","2002-06",3.7322,
"DNK","STINT","TOT","PC_PA","M","2002-07",3.678,
"DNK","STINT","TOT","PC_PA","M","2002-08",3.579,
"DNK","STINT","TOT","PC_PA","M","2002-09",3.4523,
"DNK","STINT","TOT","PC_PA","M","2002-10",3.4359,
"DNK","STINT","TOT","PC_PA","M","2002-11",3.3108,
"DNK","STINT","TOT","PC_PA","M","2002-12",3.0713,
"DNK","STINT","TOT","PC_PA","M","2003-01",2.9731,
"DNK","STINT","TOT","PC_PA","M","2003-02",2.8343,
"DNK","STINT","TOT","PC_PA","M","2003-03",2.6663,
"DNK","STINT","TOT","PC_PA","M","2003-04",2.668,
"DNK","STINT","TOT","PC_PA","M","2003-05",2.5404,
"DNK","STINT","TOT","PC_PA","M","2003-06",2.2132,
"DNK","STINT","TOT","PC_PA","M","2003-07",2.1779,
"DNK","STINT","TOT","PC_PA","M","2003-08",2.185,
"DNK","STINT","TOT","PC_PA","M","2003-09",2.186,
"DNK","STINT","TOT","PC_PA","M","2003-10",2.1955,
"DNK","STINT","TOT","PC_PA","M","2003-11",2.2126,
"DNK","STINT","TOT","PC_PA","M","2003-12",2.2246,
"DNK","STINT","TOT","PC_PA","M","2004-01",2.1933,
"DNK","STINT","TOT","PC_PA","M","2004-02",2.1793,
"DNK","STINT","TOT","PC_PA","M","2004-03",2.1447,
"DNK","STINT","TOT","PC_PA","M","2004-04",2.1688,
"DNK","STINT","TOT","PC_PA","M","2004-05",2.1964,
"DNK","STINT","TOT","PC_PA","M","2004-06",2.2099,
"DNK","STINT","TOT","PC_PA","M","2004-07",2.2183,
"DNK","STINT","TOT","PC_PA","M","2004-08",2.2088,
"DNK","STINT","TOT","PC_PA","M","2004-09",2.2108,
"DNK","STINT","TOT","PC_PA","M","2004-10",2.2057,
"DNK","STINT","TOT","PC_PA","M","2004-11",2.2064,
"DNK","STINT","TOT","PC_PA","M","2004-12",2.1976,
"DNK","STINT","TOT","PC_PA","M","2005-01",2.1958,
"DNK","STINT","TOT","PC_PA","M","2005-02",2.1894,
"DNK","STINT","TOT","PC_PA","M","2005-03",2.186,
"DNK","STINT","TOT","PC_PA","M","2005-04",2.181,
"DNK","STINT","TOT","PC_PA","M","2005-05",2.1759,
"DNK","STINT","TOT","PC_PA","M","2005-06",2.1609,
"DNK","STINT","TOT","PC_PA","M","2005-07",2.1628,
"DNK","STINT","TOT","PC_PA","M","2005-08",2.1729,
"DNK","STINT","TOT","PC_PA","M","2005-09",2.1766,
"DNK","STINT","TOT","PC_PA","M","2005-10",2.2178,
"DNK","STINT","TOT","PC_PA","M","2005-11",2.3908,
"DNK","STINT","TOT","PC_PA","M","2005-12",2.4802,
"DNK","STINT","TOT","PC_PA","M","2006-01",2.5246,
"DNK","STINT","TOT","PC_PA","M","2006-02",2.6574,
"DNK","STINT","TOT","PC_PA","M","2006-03",2.8477,
"DNK","STINT","TOT","PC_PA","M","2006-04",2.9226,
"DNK","STINT","TOT","PC_PA","M","2006-05",2.9779,
"DNK","STINT","TOT","PC_PA","M","2006-06",3.0805,
"DNK","STINT","TOT","PC_PA","M","2006-07",3.2044,
"DNK","STINT","TOT","PC_PA","M","2006-08",3.3311,
"DNK","STINT","TOT","PC_PA","M","2006-09",3.4463,
"DNK","STINT","TOT","PC_PA","M","2006-10",3.6145,
"DNK","STINT","TOT","PC_PA","M","2006-11",3.7245,
"DNK","STINT","TOT","PC_PA","M","2006-12",3.8371,
"DNK","STINT","TOT","PC_PA","M","2007-01",3.9204,
"DNK","STINT","TOT","PC_PA","M","2007-02",3.9949,
"DNK","STINT","TOT","PC_PA","M","2007-03",4.0726,
"DNK","STINT","TOT","PC_PA","M","2007-04",4.1684,
"DNK","STINT","TOT","PC_PA","M","2007-05",4.2832,
"DNK","STINT","TOT","PC_PA","M","2007-06",4.373,
"DNK","STINT","TOT","PC_PA","M","2007-07",4.4158,
"DNK","STINT","TOT","PC_PA","M","2007-08",4.6605,
"DNK","STINT","TOT","PC_PA","M","2007-09",4.8493,
"DNK","STINT","TOT","PC_PA","M","2007-10",4.8356,
"DNK","STINT","TOT","PC_PA","M","2007-11",4.8184,
"DNK","STINT","TOT","PC_PA","M","2007-12",4.9196,
"DNK","STINT","TOT","PC_PA","M","2008-01",4.7199,
"DNK","STINT","TOT","PC_PA","M","2008-02",4.6148,
"DNK","STINT","TOT","PC_PA","M","2008-03",4.8007,
"DNK","STINT","TOT","PC_PA","M","2008-04",4.9955,
"DNK","STINT","TOT","PC_PA","M","2008-05",5.1507,
"DNK","STINT","TOT","PC_PA","M","2008-06",5.3286,
"DNK","STINT","TOT","PC_PA","M","2008-07",5.3789,
"DNK","STINT","TOT","PC_PA","M","2008-08",5.3833,
"DNK","STINT","TOT","PC_PA","M","2008-09",5.4176,
"DNK","STINT","TOT","PC_PA","M","2008-10",5.9903,
"DNK","STINT","TOT","PC_PA","M","2008-11",6.0757,
"DNK","STINT","TOT","PC_PA","M","2008-12",5.3699,
"DNK","STINT","TOT","PC_PA","M","2009-01",4.4204,
"DNK","STINT","TOT","PC_PA","M","2009-02",3.8595,
"DNK","STINT","TOT","PC_PA","M","2009-03",3.2773,
"DNK","STINT","TOT","PC_PA","M","2009-04",2.9361,
"DNK","STINT","TOT","PC_PA","M","2009-05",2.6695,
"DNK","STINT","TOT","PC_PA","M","2009-06",2.3308,
"DNK","STINT","TOT","PC_PA","M","2009-07",2.0642,
"DNK","STINT","TOT","PC_PA","M","2009-08",1.938,
"DNK","STINT","TOT","PC_PA","M","2009-09",1.7625,
"DNK","STINT","TOT","PC_PA","M","2009-10",1.5828,
"DNK","STINT","TOT","PC_PA","M","2009-11",1.5587,
"DNK","STINT","TOT","PC_PA","M","2009-12",1.5521,
"DNK","STINT","TOT","PC_PA","M","2010-01",1.4587,
"DNK","STINT","TOT","PC_PA","M","2010-02",1.3927,
"DNK","STINT","TOT","PC_PA","M","2010-03",1.3717,
"DNK","STINT","TOT","PC_PA","M","2010-04",1.2835,
"DNK","STINT","TOT","PC_PA","M","2010-05",1.252,
"DNK","STINT","TOT","PC_PA","M","2010-06",1.152,
"DNK","STINT","TOT","PC_PA","M","2010-07",1.1341,
"DNK","STINT","TOT","PC_PA","M","2010-08",1.1451,
"DNK","STINT","TOT","PC_PA","M","2010-09",1.146,
"DNK","STINT","TOT","PC_PA","M","2010-10",1.1913,
"DNK","STINT","TOT","PC_PA","M","2010-11",1.2388,
"DNK","STINT","TOT","PC_PA","M","2010-12",1.2117,
"DNK","STINT","TOT","PC_PA","M","2011-01",1.2161,
"DNK","STINT","TOT","PC_PA","M","2011-02",1.2398,
"DNK","STINT","TOT","PC_PA","M","2011-03",1.3074,
"DNK","STINT","TOT","PC_PA","M","2011-04",1.4083,
"DNK","STINT","TOT","PC_PA","M","2011-05",1.457,
"DNK","STINT","TOT","PC_PA","M","2011-06",1.5136,
"DNK","STINT","TOT","PC_PA","M","2011-07",1.6625,
"DNK","STINT","TOT","PC_PA","M","2011-08",1.6041,
"DNK","STINT","TOT","PC_PA","M","2011-09",1.4366,
"DNK","STINT","TOT","PC_PA","M","2011-10",1.3974,
"DNK","STINT","TOT","PC_PA","M","2011-11",1.2877,
"DNK","STINT","TOT","PC_PA","M","2011-12",1.0837,
"DNK","STINT","TOT","PC_PA","M","2012-01",1.0069,
"DNK","STINT","TOT","PC_PA","M","2012-02",1.0007,
"DNK","STINT","TOT","PC_PA","M","2012-03",0.9878,
"DNK","STINT","TOT","PC_PA","M","2012-04",0.9652,
"DNK","STINT","TOT","PC_PA","M","2012-05",0.9009,
"DNK","STINT","TOT","PC_PA","M","2012-06",0.6214,
"DNK","STINT","TOT","PC_PA","M","2012-07",0.4068,
"DNK","STINT","TOT","PC_PA","M","2012-08",0.3124,
"DNK","STINT","TOT","PC_PA","M","2012-09",0.3217,
"DNK","STINT","TOT","PC_PA","M","2012-10",0.3345,
"DNK","STINT","TOT","PC_PA","M","2012-11",0.3009,
