LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
SWE,STINT,TOT,PC_PA,M,1982-01,11.71,
SWE,STINT,TOT,PC_PA,M,1982-02,12.55,
SWE,STINT,TOT,PC_PA,M,1982-03,12.77,
SWE,STINT,TOT,PC_PA,M,1982-04,12.64,
SWE,STINT,TOT,PC_PA,M,1982-05,12.82,
SWE,STINT,TOT,PC_PA,M,1982-06,13.62,
SWE,STINT,TOT,PC_PA,M,1982-07,14.38,
SWE,STINT,TOT,PC_PA,M,1982-08,14.19,
SWE,STINT,TOT,PC_PA,M,1982-09,14.5,
SWE,STINT,TOT,PC_PA,M,1982-10,14.48,
SWE,STINT,TOT,PC_PA,M,1982-11,13.02,
SWE,STINT,TOT,PC_PA,M,1982-12,12.32,
SWE,STINT,TOT,PC_PA,M,1983-01,11.38,
SWE,STINT,TOT,PC_PA,M,1983-02,11.08,
SWE,STINT,TOT,PC_PA,M,1983-03,10.92,
SWE,STINT,TOT,PC_PA,M,1983-04,10.81,
SWE,STINT,TOT,PC_PA,M,1983-05,10.92,
SWE,STINT,TOT,PC_PA,M,1983-06,11.21,
SWE,STINT,TOT,PC_PA,M,1983-07,11.39,
SWE,STINT,TOT,PC_PA,M,1983-08,11.31,
SWE,STINT,TOT,PC_PA,M,1983-09,11.65,
SWE,STINT,TOT,PC_PA,M,1983-10,12.25,
SWE,STINT,TOT,PC_PA,M,1983-11,12.22,
SWE,STINT,TOT,PC_PA,M,1983-12,11.79,
SWE,STINT,TOT,PC_PA,M,1984-01,11.25,
SWE,STINT,TOT,PC_PA,M,1984-02,11.0,
SWE,STINT,TOT,PC_PA,M,1984-03,10.75,
SWE,STINT,TOT,PC_PA,M,1984-04,10.63,
SWE,STINT,TOT,PC_PA,M,1984-05,11.0,
SWE,STINT,TOT,PC_PA,M,1984-06,11.8,
SWE,STINT,TOT,PC_PA,M,1984-07,13.51,
SWE,STINT,TOT,PC_PA,M,1984-08,13.57,
SWE,STINT,TOT,PC_PA,M,1984-09,13.43,
SWE,STINT,TOT,PC_PA,M,1984-10,12.96,
SWE,STINT,TOT,PC_PA,M,1984-11,11.6,
SWE,STINT,TOT,PC_PA,M,1984-12,11.67,
SWE,STINT,TOT,PC_PA,M,1985-01,11.92,
SWE,STINT,TOT,PC_PA,M,1985-02,13.52,
SWE,STINT,TOT,PC_PA,M,1985-03,13.75,
SWE,STINT,TOT,PC_PA,M,1985-04,13.69,
SWE,STINT,TOT,PC_PA,M,1985-05,15.46,
SWE,STINT,TOT,PC_PA,M,1985-06,16.25,
SWE,STINT,TOT,PC_PA,M,1985-07,15.66,
SWE,STINT,TOT,PC_PA,M,1985-08,14.9,
SWE,STINT,TOT,PC_PA,M,1985-09,14.83,
SWE,STINT,TOT,PC_PA,M,1985-10,14.5,
SWE,STINT,TOT,PC_PA,M,1985-11,13.24,
SWE,STINT,TOT,PC_PA,M,1985-12,12.37,
SWE,STINT,TOT,PC_PA,M,1986-01,12.09,
SWE,STINT,TOT,PC_PA,M,1986-02,11.09,
SWE,STINT,TOT,PC_PA,M,1986-03,10.75,
SWE,STINT,TOT,PC_PA,M,1986-04,10.25,
SWE,STINT,TOT,PC_PA,M,1986-05,10.15,
SWE,STINT,TOT,PC_PA,M,1986-06,9.83,
SWE,STINT,TOT,PC_PA,M,1986-07,9.5,
SWE,STINT,TOT,PC_PA,M,1986-08,9.29,
SWE,STINT,TOT,PC_PA,M,1986-09,8.74,
SWE,STINT,TOT,PC_PA,M,1986-10,8.51,
SWE,STINT,TOT,PC_PA,M,1986-11,8.64,
SWE,STINT,TOT,PC_PA,M,1986-12,9.13,
SWE,STINT,TOT,PC_PA,M,1987-01,9.77,
SWE,STINT,TOT,PC_PA,M,1987-02,10.34,
SWE,STINT,TOT,PC_PA,M,1987-03,10.77,
SWE,STINT,TOT,PC_PA,M,1987-04,9.48,
SWE,STINT,TOT,PC_PA,M,1987-05,9.23,
SWE,STINT,TOT,PC_PA,M,1987-06,8.8,
SWE,STINT,TOT,PC_PA,M,1987-07,8.73,
SWE,STINT,TOT,PC_PA,M,1987-08,9.08,
SWE,STINT,TOT,PC_PA,M,1987-09,8.98,
SWE,STINT,TOT,PC_PA,M,1987-10,9.17,
SWE,STINT,TOT,PC_PA,M,1987-11,9.27,
SWE,STINT,TOT,PC_PA,M,1987-12,9.07,
SWE,STINT,TOT,PC_PA,M,1988-01,9.1,
SWE,STINT,TOT,PC_PA,M,1988-02,9.23,
SWE,STINT,TOT,PC_PA,M,1988-03,9.43,
SWE,STINT,TOT,PC_PA,M,1988-04,9.69,
SWE,STINT,TOT,PC_PA,M,1988-05,10.41,
SWE,STINT,TOT,PC_PA,M,1988-06,10.24,
SWE,STINT,TOT,PC_PA,M,1988-07,10.34,
SWE,STINT,TOT,PC_PA,M,1988-08,10.58,
SWE,STINT,TOT,PC_PA,M,1988-09,10.4,
SWE,STINT,TOT,PC_PA,M,1988-10,10.5,
SWE,STINT,TOT,PC_PA,M,1988-11,10.65,
SWE,STINT,TOT,PC_PA,M,1988-12,10.43,
SWE,STINT,TOT,PC_PA,M,1989-01,10.38,
SWE,STINT,TOT,PC_PA,M,1989-02,10.55,
SWE,STINT,TOT,PC_PA,M,1989-03,11.44,
SWE,STINT,TOT,PC_PA,M,1989-04,11.52,
SWE,STINT,TOT,PC_PA,M,1989-05,11.56,
SWE,STINT,TOT,PC_PA,M,1989-06,11.56,
SWE,STINT,TOT,PC_PA,M,1989-07,11.7,
SWE,STINT,TOT,PC_PA,M,1989-08,11.76,
SWE,STINT,TOT,PC_PA,M,1989-09,11.61,
SWE,STINT,TOT,PC_PA,M,1989-10,11.78,
SWE,STINT,TOT,PC_PA,M,1989-11,11.84,
SWE,STINT,TOT,PC_PA,M,1989-12,12.29,
SWE,STINT,TOT,PC_PA,M,1990-01,12.62,
SWE,STINT,TOT,PC_PA,M,1990-02,14.88,
SWE,STINT,TOT,PC_PA,M,1990-03,14.68,
SWE,STINT,TOT,PC_PA,M,1990-04,13.74,
SWE,STINT,TOT,PC_PA,M,1990-05,12.97,
SWE,STINT,TOT,PC_PA,M,1990-06,12.56,
SWE,STINT,TOT,PC_PA,M,1990-07,12.58,
SWE,STINT,TOT,PC_PA,M,1990-08,12.99,
SWE,STINT,TOT,PC_PA,M,1990-09,13.07,
SWE,STINT,TOT,PC_PA,M,1990-10,14.67,
SWE,STINT,TOT,PC_PA,M,1990-11,14.89,
SWE,STINT,TOT,PC_PA,M,1990-12,14.36,
SWE,STINT,TOT,PC_PA,M,1991-01,13.37,
SWE,STINT,TOT,PC_PA,M,1991-02,12.05,
SWE,STINT,TOT,PC_PA,M,1991-03,12.1,
SWE,STINT,TOT,PC_PA,M,1991-04,12.27,
SWE,STINT,TOT,PC_PA,M,1991-05,11.74,
SWE,STINT,TOT,PC_PA,M,1991-06,10.61,
SWE,STINT,TOT,PC_PA,M,1991-07,10.57,
SWE,STINT,TOT,PC_PA,M,1991-08,10.7,
SWE,STINT,TOT,PC_PA,M,1991-09,10.27,
SWE,STINT,TOT,PC_PA,M,1991-10,10.75,
SWE,STINT,TOT,PC_PA,M,1991-11,11.06,
SWE,STINT,TOT,PC_PA,M,1991-12,13.63,
SWE,STINT,TOT,PC_PA,M,1992-01,12.49,
SWE,STINT,TOT,PC_PA,M,1992-02,12.23,
SWE,STINT,TOT,PC_PA,M,1992-03,11.7,
SWE,STINT,TOT,PC_PA,M,1992-04,11.85,
SWE,STINT,TOT,PC_PA,M,1992-05,11.66,
SWE,STINT,TOT,PC_PA,M,1992-06,11.59,
SWE,STINT,TOT,PC_PA,M,1992-07,11.92,
SWE,STINT,TOT,PC_PA,M,1992-08,13.26,
SWE,STINT,TOT,PC_PA,M,1992-09,20.18,
SWE,STINT,TOT,PC_PA,M,1992-10,14.39,
SWE,STINT,TOT,PC_PA,M,1992-11,12.45,
SWE,STINT,TOT,PC_PA,M,1992-12,10.58,
SWE,STINT,TOT,PC_PA,M,1993-01,9.76,
SWE,STINT,TOT,PC_PA,M,1993-02,9.32,
SWE,STINT,TOT,PC_PA,M,1993-03,9.71,
SWE,STINT,TOT,PC_PA,M,1993-04,9.48,
SWE,STINT,TOT,PC_PA,M,1993-05,8.74,
SWE,STINT,TOT,PC_PA,M,1993-06,8.32,
SWE,STINT,TOT,PC_PA,M,1993-07,8.21,
SWE,STINT,TOT,PC_PA,M,1993-08,7.59,
SWE,STINT,TOT,PC_PA,M,1993-09,7.53,
SWE,STINT,TOT,PC_PA,M,1993-10,7.45,
SWE,STINT,TOT,PC_PA,M,1993-11,7.22,
SWE,STINT,TOT,PC_PA,M,1993-12,6.89,
SWE,STINT,TOT,PC_PA,M,1994-01,6.97,
SWE,STINT,TOT,PC_PA,M,1994-02,6.98,
SWE,STINT,TOT,PC_PA,M,1994-03,7.04,
SWE,STINT,TOT,PC_PA,M,1994-04,7.09,
SWE,STINT,TOT,PC_PA,M,1994-05,7.0,
SWE,STINT,TOT,PC_PA,M,1994-06,6.99,
SWE,STINT,TOT,PC_PA,M,1994-07,7.32,
SWE,STINT,TOT,PC_PA,M,1994-08,7.68,
SWE,STINT,TOT,PC_PA,M,1994-09,7.71,
SWE,STINT,TOT,PC_PA,M,1994-10,7.95,
SWE,STINT,TOT,PC_PA,M,1994-11,8.11,
SWE,STINT,TOT,PC_PA,M,1994-12,7.97,
SWE,STINT,TOT,PC_PA,M,1995-01,8.02,
SWE,STINT,TOT,PC_PA,M,1995-02,7.9,
SWE,STINT,TOT,PC_PA,M,1995-03,8.67,
SWE,STINT,TOT,PC_PA,M,1995-04,8.78,
SWE,STINT,TOT,PC_PA,M,1995-05,8.77,
SWE,STINT,TOT,PC_PA,M,1995-06,9.16,
SWE,STINT,TOT,PC_PA,M,1995-07,9.26,
SWE,STINT,TOT,PC_PA,M,1995-08,9.15,
SWE,STINT,TOT,PC_PA,M,1995-09,8.92,
